  after assign_samples step=1: assigned=470805/500000 gap=29195 plates=40
    plate[0]: 8249 samples, 9118 mesh verts, 17500 tris
    plate[1]: 9864 samples, 10941 mesh verts, 21238 tris
    plate[2]: 10707 samples, 12160 mesh verts, 23430 tris
    plate[3]: 10535 samples, 11466 mesh verts, 22173 tris
    plate[4]: 7652 samples, 8214 mesh verts, 15888 tris
    plate[5]: 13357 samples, 15413 mesh verts, 29881 tris
    plate[6]: 10415 samples, 11386 mesh verts, 21887 tris
    plate[7]: 9924 samples, 10910 mesh verts, 21197 tris
    plate[8]: 10495 samples, 11272 mesh verts, 21870 tris
    plate[9]: 12185 samples, 14601 mesh verts, 27830 tris
    plate[10]: 18544 samples, 19937 mesh verts, 38567 tris
    plate[11]: 15795 samples, 16909 mesh verts, 32820 tris
    plate[12]: 18120 samples, 19883 mesh verts, 38924 tris
    plate[13]: 8109 samples, 8746 mesh verts, 16942 tris
    plate[14]: 18993 samples, 20838 mesh verts, 40382 tris
    plate[15]: 14113 samples, 15911 mesh verts, 30776 tris
    plate[16]: 9998 samples, 11241 mesh verts, 21796 tris
    plate[17]: 8137 samples, 8953 mesh verts, 17287 tris
    plate[18]: 16574 samples, 17498 mesh verts, 34098 tris
    plate[19]: 13233 samples, 14332 mesh verts, 27791 tris
    plate[20]: 10162 samples, 11332 mesh verts, 21822 tris
    plate[21]: 10136 samples, 11189 mesh verts, 21702 tris
    plate[22]: 19923 samples, 21348 mesh verts, 41619 tris
    plate[23]: 11488 samples, 12874 mesh verts, 24914 tris
    plate[24]: 8225 samples, 8671 mesh verts, 16741 tris
    plate[25]: 9437 samples, 10655 mesh verts, 20607 tris
    plate[26]: 18098 samples, 19139 mesh verts, 37372 tris
    plate[27]: 8437 samples, 9623 mesh verts, 18221 tris
    plate[28]: 11363 samples, 12851 mesh verts, 24604 tris
    plate[29]: 8372 samples, 9053 mesh verts, 17159 tris
    plate[30]: 10614 samples, 12475 mesh verts, 23797 tris
    plate[31]: 9604 samples, 10163 mesh verts, 19640 tris
    plate[32]: 12675 samples, 13620 mesh verts, 26216 tris
    plate[33]: 9507 samples, 10707 mesh verts, 20733 tris
    plate[34]: 11024 samples, 11671 mesh verts, 22597 tris
    plate[35]: 8117 samples, 8546 mesh verts, 16450 tris
    plate[36]: 12577 samples, 14089 mesh verts, 27012 tris
    plate[37]: 7877 samples, 8888 mesh verts, 16878 tris
    plate[38]: 10695 samples, 11561 mesh verts, 22375 tris
    plate[39]: 17475 samples, 19305 mesh verts, 37260 tris
  crust: cont=155509 (30.1%) ocean=361980 below_sea=0 elev=[2.000,2.000] avg=2.000 andean=0 himalayan=0
  after assign_samples step=2: assigned=447029/500000 gap=52971 plates=40
    plate[0]: 7996 samples, 9118 mesh verts, 17500 tris
    plate[1]: 9301 samples, 10941 mesh verts, 21238 tris
    plate[2]: 10092 samples, 12160 mesh verts, 23430 tris
    plate[3]: 10184 samples, 11466 mesh verts, 22173 tris
    plate[4]: 7467 samples, 8214 mesh verts, 15888 tris
    plate[5]: 12275 samples, 15413 mesh verts, 29881 tris
    plate[6]: 10150 samples, 11386 mesh verts, 21887 tris
    plate[7]: 9439 samples, 10910 mesh verts, 21197 tris
    plate[8]: 10284 samples, 11272 mesh verts, 21870 tris
    plate[9]: 10936 samples, 14601 mesh verts, 27830 tris
    plate[10]: 18080 samples, 19937 mesh verts, 38567 tris
    plate[11]: 15488 samples, 16909 mesh verts, 32820 tris
    plate[12]: 16904 samples, 19883 mesh verts, 38924 tris
    plate[13]: 7944 samples, 8746 mesh verts, 16942 tris
    plate[14]: 17982 samples, 20838 mesh verts, 40382 tris
    plate[15]: 13120 samples, 15911 mesh verts, 30776 tris
    plate[16]: 9267 samples, 11241 mesh verts, 21796 tris
    plate[17]: 7603 samples, 8953 mesh verts, 17287 tris
    plate[18]: 16121 samples, 17498 mesh verts, 34098 tris
    plate[19]: 12571 samples, 14332 mesh verts, 27791 tris
    plate[20]: 9537 samples, 11332 mesh verts, 21822 tris
    plate[21]: 9526 samples, 11189 mesh verts, 21702 tris
    plate[22]: 19264 samples, 21348 mesh verts, 41619 tris
    plate[23]: 10857 samples, 12874 mesh verts, 24914 tris
    plate[24]: 8071 samples, 8671 mesh verts, 16741 tris
    plate[25]: 8831 samples, 10655 mesh verts, 20607 tris
    plate[26]: 17389 samples, 19139 mesh verts, 37372 tris
    plate[27]: 7854 samples, 9623 mesh verts, 18221 tris
    plate[28]: 10369 samples, 12851 mesh verts, 24604 tris
    plate[29]: 8251 samples, 9053 mesh verts, 17159 tris
    plate[30]: 9371 samples, 12475 mesh verts, 23797 tris
    plate[31]: 9384 samples, 10163 mesh verts, 19640 tris
    plate[32]: 12311 samples, 13620 mesh verts, 26216 tris
    plate[33]: 8685 samples, 10707 mesh verts, 20733 tris
    plate[34]: 10633 samples, 11671 mesh verts, 22597 tris
    plate[35]: 8000 samples, 8546 mesh verts, 16450 tris
    plate[36]: 11778 samples, 14089 mesh verts, 27012 tris
    plate[37]: 7245 samples, 8888 mesh verts, 16878 tris
    plate[38]: 10210 samples, 11561 mesh verts, 22375 tris
    plate[39]: 16259 samples, 19305 mesh verts, 37260 tris
  crust: cont=155509 (30.1%) ocean=361980 below_sea=0 elev=[2.000,2.108] avg=2.021 andean=0 himalayan=0
  after assign_samples step=3: assigned=424990/500000 gap=75010 plates=40
    plate[0]: 7750 samples, 9121 mesh verts, 17503 tris
    plate[1]: 8775 samples, 10988 mesh verts, 21285 tris
    plate[2]: 9556 samples, 12161 mesh verts, 23431 tris
    plate[3]: 9812 samples, 11504 mesh verts, 22211 tris
    plate[4]: 7293 samples, 8239 mesh verts, 15913 tris
    plate[5]: 11266 samples, 15416 mesh verts, 29884 tris
    plate[6]: 9872 samples, 11412 mesh verts, 21913 tris
    plate[7]: 9177 samples, 10935 mesh verts, 21222 tris
    plate[8]: 10095 samples, 11288 mesh verts, 21886 tris
    plate[9]: 9764 samples, 14603 mesh verts, 27832 tris
    plate[10]: 17598 samples, 19954 mesh verts, 38584 tris
    plate[11]: 15171 samples, 16918 mesh verts, 32829 tris
    plate[12]: 15709 samples, 19901 mesh verts, 38942 tris
    plate[13]: 7765 samples, 8765 mesh verts, 16961 tris
    plate[14]: 17011 samples, 20876 mesh verts, 40420 tris
    plate[15]: 12162 samples, 15926 mesh verts, 30791 tris
    plate[16]: 8640 samples, 11242 mesh verts, 21797 tris
    plate[17]: 7063 samples, 8987 mesh verts, 17321 tris
    plate[18]: 15676 samples, 17506 mesh verts, 34106 tris
    plate[19]: 11976 samples, 14357 mesh verts, 27816 tris
    plate[20]: 8944 samples, 11353 mesh verts, 21843 tris
    plate[21]: 8967 samples, 11210 mesh verts, 21723 tris
    plate[22]: 18659 samples, 21359 mesh verts, 41630 tris
    plate[23]: 10296 samples, 12908 mesh verts, 24948 tris
    plate[24]: 7929 samples, 8682 mesh verts, 16752 tris
    plate[25]: 8312 samples, 10673 mesh verts, 20625 tris
    plate[26]: 16698 samples, 19145 mesh verts, 37378 tris
    plate[27]: 7331 samples, 9645 mesh verts, 18243 tris
    plate[28]: 9428 samples, 12859 mesh verts, 24612 tris
    plate[29]: 8089 samples, 9058 mesh verts, 17164 tris
    plate[30]: 8239 samples, 12506 mesh verts, 23828 tris
    plate[31]: 9249 samples, 10184 mesh verts, 19661 tris
    plate[32]: 11961 samples, 13659 mesh verts, 26255 tris
    plate[33]: 7938 samples, 10728 mesh verts, 20754 tris
    plate[34]: 10281 samples, 11672 mesh verts, 22598 tris
    plate[35]: 7885 samples, 8555 mesh verts, 16459 tris
    plate[36]: 11049 samples, 14103 mesh verts, 27026 tris
    plate[37]: 6683 samples, 8913 mesh verts, 16903 tris
    plate[38]: 9767 samples, 11563 mesh verts, 22377 tris
    plate[39]: 15154 samples, 19330 mesh verts, 37285 tris
  crust: cont=155509 (30.0%) ocean=362695 below_sea=0 elev=[2.000,2.216] avg=2.042 andean=0 himalayan=0
  after assign_samples step=4: assigned=404742/500000 gap=95258 plates=40
    plate[0]: 7545 samples, 9121 mesh verts, 17503 tris
    plate[1]: 8410 samples, 10988 mesh verts, 21285 tris
    plate[2]: 8956 samples, 12161 mesh verts, 23431 tris
    plate[3]: 9464 samples, 11504 mesh verts, 22211 tris
    plate[4]: 7142 samples, 8239 mesh verts, 15913 tris
    plate[5]: 10276 samples, 15416 mesh verts, 29884 tris
    plate[6]: 9628 samples, 11412 mesh verts, 21913 tris
    plate[7]: 8929 samples, 10935 mesh verts, 21222 tris
    plate[8]: 9931 samples, 11288 mesh verts, 21886 tris
    plate[9]: 8813 samples, 14603 mesh verts, 27832 tris
    plate[10]: 17131 samples, 19954 mesh verts, 38584 tris
    plate[11]: 14846 samples, 16918 mesh verts, 32829 tris
    plate[12]: 14532 samples, 19901 mesh verts, 38942 tris
    plate[13]: 7600 samples, 8765 mesh verts, 16961 tris
    plate[14]: 16129 samples, 20876 mesh verts, 40420 tris
    plate[15]: 11285 samples, 15926 mesh verts, 30791 tris
    plate[16]: 8084 samples, 11242 mesh verts, 21797 tris
    plate[17]: 6516 samples, 8987 mesh verts, 17321 tris
    plate[18]: 15240 samples, 17506 mesh verts, 34106 tris
    plate[19]: 11442 samples, 14357 mesh verts, 27816 tris
    plate[20]: 8319 samples, 11353 mesh verts, 21843 tris
    plate[21]: 8485 samples, 11210 mesh verts, 21723 tris
    plate[22]: 18050 samples, 21359 mesh verts, 41630 tris
    plate[23]: 9845 samples, 12908 mesh verts, 24948 tris
    plate[24]: 7802 samples, 8682 mesh verts, 16752 tris
    plate[25]: 7838 samples, 10673 mesh verts, 20625 tris
    plate[26]: 15968 samples, 19145 mesh verts, 37378 tris
    plate[27]: 6849 samples, 9645 mesh verts, 18243 tris
    plate[28]: 8578 samples, 12859 mesh verts, 24612 tris
    plate[29]: 7971 samples, 9058 mesh verts, 17164 tris
    plate[30]: 7290 samples, 12506 mesh verts, 23828 tris
    plate[31]: 9096 samples, 10184 mesh verts, 19661 tris
    plate[32]: 11672 samples, 13659 mesh verts, 26255 tris
    plate[33]: 7422 samples, 10728 mesh verts, 20754 tris
    plate[34]: 9944 samples, 11672 mesh verts, 22598 tris
    plate[35]: 7821 samples, 8555 mesh verts, 16459 tris
    plate[36]: 10334 samples, 14103 mesh verts, 27026 tris
    plate[37]: 6139 samples, 8913 mesh verts, 16903 tris
    plate[38]: 9332 samples, 11563 mesh verts, 22377 tris
    plate[39]: 14088 samples, 19330 mesh verts, 37285 tris
  crust: cont=155509 (30.0%) ocean=362695 below_sea=0 elev=[2.000,2.324] avg=2.064 andean=0 himalayan=0
  after assign_samples step=5: assigned=386062/500000 gap=113938 plates=40
    plate[0]: 7371 samples, 9122 mesh verts, 17504 tris
    plate[1]: 8132 samples, 11038 mesh verts, 21335 tris
    plate[2]: 8413 samples, 12167 mesh verts, 23437 tris
    plate[3]: 9098 samples, 11539 mesh verts, 22246 tris
    plate[4]: 6992 samples, 8264 mesh verts, 15938 tris
    plate[5]: 9309 samples, 15418 mesh verts, 29886 tris
    plate[6]: 9380 samples, 11441 mesh verts, 21942 tris
    plate[7]: 8604 samples, 10952 mesh verts, 21239 tris
    plate[8]: 9789 samples, 11298 mesh verts, 21896 tris
    plate[9]: 8101 samples, 14603 mesh verts, 27832 tris
    plate[10]: 16677 samples, 19969 mesh verts, 38599 tris
    plate[11]: 14545 samples, 16920 mesh verts, 32831 tris
    plate[12]: 13607 samples, 19918 mesh verts, 38959 tris
    plate[13]: 7473 samples, 8784 mesh verts, 16980 tris
    plate[14]: 15319 samples, 20893 mesh verts, 40437 tris
    plate[15]: 10461 samples, 15951 mesh verts, 30816 tris
    plate[16]: 7653 samples, 11244 mesh verts, 21799 tris
    plate[17]: 6032 samples, 9019 mesh verts, 17353 tris
    plate[18]: 14799 samples, 17512 mesh verts, 34112 tris
    plate[19]: 10954 samples, 14389 mesh verts, 27848 tris
    plate[20]: 7724 samples, 11369 mesh verts, 21859 tris
    plate[21]: 8010 samples, 11240 mesh verts, 21753 tris
    plate[22]: 17465 samples, 21372 mesh verts, 41643 tris
    plate[23]: 9360 samples, 12942 mesh verts, 24982 tris
    plate[24]: 7709 samples, 8690 mesh verts, 16760 tris
    plate[25]: 7389 samples, 10692 mesh verts, 20644 tris
    plate[26]: 15263 samples, 19152 mesh verts, 37385 tris
    plate[27]: 6344 samples, 9670 mesh verts, 18268 tris
    plate[28]: 7820 samples, 12865 mesh verts, 24618 tris
    plate[29]: 7832 samples, 9058 mesh verts, 17164 tris
    plate[30]: 6487 samples, 12534 mesh verts, 23856 tris
    plate[31]: 8940 samples, 10205 mesh verts, 19682 tris
    plate[32]: 11374 samples, 13685 mesh verts, 26281 tris
    plate[33]: 6955 samples, 10745 mesh verts, 20771 tris
    plate[34]: 9597 samples, 11672 mesh verts, 22598 tris
    plate[35]: 7756 samples, 8561 mesh verts, 16465 tris
    plate[36]: 9704 samples, 14117 mesh verts, 27040 tris
    plate[37]: 5632 samples, 8927 mesh verts, 16917 tris
    plate[38]: 8887 samples, 11565 mesh verts, 22379 tris
    plate[39]: 13105 samples, 19351 mesh verts, 37306 tris
  crust: cont=155509 (30.0%) ocean=363344 below_sea=0 elev=[2.000,2.432] avg=2.086 andean=0 himalayan=0
  after assign_samples step=6: assigned=368547/500000 gap=131453 plates=40
    plate[0]: 7206 samples, 9122 mesh verts, 17504 tris
    plate[1]: 7988 samples, 11038 mesh verts, 21335 tris
    plate[2]: 7924 samples, 12167 mesh verts, 23437 tris
    plate[3]: 8746 samples, 11539 mesh verts, 22246 tris
    plate[4]: 6806 samples, 8264 mesh verts, 15938 tris
    plate[5]: 8383 samples, 15418 mesh verts, 29886 tris
    plate[6]: 9181 samples, 11441 mesh verts, 21942 tris
    plate[7]: 8249 samples, 10952 mesh verts, 21239 tris
    plate[8]: 9606 samples, 11298 mesh verts, 21896 tris
    plate[9]: 7516 samples, 14603 mesh verts, 27832 tris
    plate[10]: 16233 samples, 19969 mesh verts, 38599 tris
    plate[11]: 14223 samples, 16920 mesh verts, 32831 tris
    plate[12]: 12806 samples, 19918 mesh verts, 38959 tris
    plate[13]: 7371 samples, 8784 mesh verts, 16980 tris
